n,Multiplicand,Multiplier,Product,Result(Part 1),Result(Part 2),PrimitiveOperations(Part 1),PrimitiveOperations(Part 2)
44,48037372833256074700654001153106661267271578,21507154506893749525887557898456584426338092,1033147199630098752844649772693301338967858834413283705076466083574172807348418610349176,1397088325186459736503496349611690829529245768897685213226438268120725795388095021307936,1033147199630098752844649772693301338967858834413283705076466083574172807348418610349176,28523,20928
45,815982845423405077240953021776080362261163160,994366570345809397642352006115189653686194431,811386063464686040639031656955353678126213146853160469421434321023644713368856207974361960,109742908919361922298218931677537777157228312721384522166564850901491024554743036495496840,811386063464686040639031656955353678126213146853160469421434321023644713368856207974361960,29801,21124
46,8450131464414891345596084824754932852323806218,4013000985114735141721188608254418808313287645,33910385891045978449677381405309993842669251608077977342153499553997137967444206171473576610,46203824341014399381256490690527994636101430546399098602287894063115896057113008217114500672,33910385891045978449677381405309993842669251608077977342153499553997137967444206171473576610,31107,22006
47,81512754395585392626174184381292864870116351139,64817527754388788344369144954739714454791476568,5283455220372532890450460530714551489562434704976721099930861870007652780295545118466178610952,7056348824369746283567303419615388303323322761591615591773249598593225008412105014589241432594,5283455220372532890450460530714551489562434704976721099930861870007652780295545118466178610952,32441,23182
48,653291741273262423128570928277433601530688113271,630013878427243820468061091986282143902884822308,411582863664055576328728610448015715801956856944526486139867666571996241126852433712654611649468,524742537702570702045177564560461838877571513028742272589356264300493559621416549022075824087756,411582863664055576328728610448015715801956856944526486139867666571996241126852433712654611649468,33803,24211
49,1092796342459529595103580777188653693301944976943,7187028605682952441183463983251079713676745903323,7853958573442343184652599434140554023417457688494359157763615141960882147181485005373132942081589,3533114911829251833482165220915942133153347772140194704751633194284403190252779674500426397363431,7853958573442343184652599434140554023417457688494359157763615141960882147181485005373132942081589,35193,24652
50,76730536820941757370073116272623150917756617364759,46544120354146090242552403107599563942275234122846,3571355340632151285392297120562578069303258596842439288513747814496673301156374980386479495397184114,4973837850010859459931908432076727703049165078098941610502261479374596035971306523266477844937020076,3571355340632151285392297120562578069303258596842439288513747814496673301156374980386479495397184114,36611,26073
51,569330478706470470931394392087324540613856878816042,924218598901981856948875743270559687588082110531138,526185817342288754573867674969088266405832207944490580573010964422528792787926284483568996109214915796,473190493842254440177714676672570690675633077984845667885307176940826567829710055717940557135228186018,526185817342288754573867674969088266405832207944490580573010964422528792787926284483568996109214915796,38057,28180
52,1272798043528653390690660032490909529558692253192535,2564075300084618513773683011309596955186848298264378,3263550025407847280108617475926002313143133074111848231966718191296249921033286882951403171569966018230,11117418611126797042580613275355948048408143104339596261103168210816416067174246938678480243335351172820,3263550025407847280108617475926002313143133074111848231966718191296249921033286882951403171569966018230,39531,26661
53,12046709432474092232967746268206975062183981222357748,22550661073128620272776358659774446649582469255861391,271661261458184884852259753600641219990820071270868949993111194767993115810664770489096880590145702907468,232704542905223478320106804054232563726091173190277516571890394796581125799957353862684011382924476284456,271661261458184884852259753600641219990820071270868949993111194767993115810664770489096880590145702907468,41033,28376
54,445158949966133156526204665207150754248912790157600563,118536360458468565209217411185691600901722874746568616,52767521754498932730941415578218928898360003583681236231837277043328749136874738123608233865036336199730808,274603263901586435379227484154404345445610224870552995279780665058889776089661937845718366842264531640561593,52767521754498932730941415578218928898360003583681236231837277043328749136874738123608233865036336199730808,42563,30189
55,4697292897423491690411556999629692421956076782642832914,7901462166279577884403307787589399181546618579989335383,37115482112925497682086646266542603902103631361362173024336399510099974173370573754822673458918464059177196062,18015714870338961869328973701060023008453249577963893221862713084055181678270189881102530885530957279620666658,37115482112925497682086646266542603902103631361362173024336399510099974173370573754822673458918464059177196062,44121,31610
56,93677099935817739583478585958889566180297961550220066454,92795872393690093953338465506939350422748321638956091607,8692848211855097452726174811004269780299723943334250159672480316211042742858318064520608572774700246191651651578,6615389301520964441547523293352283173513465687766072610413310500872460410786031386500751623874634120983970430966,8692848211855097452726174811004269780299723943334250159672480316211042742858318064520608572774700246191651651578,45707,32296
57,230635524121425523529115585765487260983220982191825109446,543221769632890334501678398579585745135159623314360669315,125286237553449937702416208044266207080947366044037385566938559235840891067356255744494675691028935984867688849490,118538832415958488375962924988723212986955581360953048367196319542757850676821243904417975738302130676933297170870,125286237553449937702416208044266207080947366044037385566938559235840891067356255744494675691028935984867688849490,47321,33080
58,1064441546456023146448362112012372431934171066858082511362,1275923807735774390971468502937756978050286855608446712683,1358146311066325241664921242877694666793602174945946302244353333610629982231317592472008041949268059836981897004246,4111061071064963800605236040882399621271100875646252705933892536230493293146559144883181199506586803520935388482002,1358146311066325241664921242877694666793602174945946302244353333610629982231317592472008041949268059836981897004246,48963,34403
59,98321854164195393408523931030375305332815915164643077936534,39440088772710008836152750135175870662650170030036711179183,3877822656533313565229148301989278707706266314037369322288055198430486572251282432239390613998359987856388733575971722,3755610852255454059196017779564991665362694016117480242245447676357722842662136706908375840960219433096549555960847262,3877822656533313565229148301989278707706266314037369322288055198430486572251282432239390613998359987856388733575971722,50633,35040
60,388476910149865296099934285233645204556615952400056742368918,956750963130644059646982279775894989765920761350720863536605,371675657939900296984986649188794383154833022037878538933486852401361789982128373876528766286702342376826033575107243390,196816142343789470177433953457812010669859645209293966317020355431488960394090103996104427634154937176023670296991442962,371675657939900296984986649188794383154833022037878538933486852401361789982128373876528766286702342376826033575107243390,52331,36363
61,8095098916294661922022020016655536537032040028618641353460380,4009142029083350458884062170250310173932330687961115209353961,32454401294904012269309435562739079996569969487070766807583588965214769702768006147839835180510635298978058909031609565180,13709365926884423592254990636311387825133175432012372266847468617658053081066522261042433813740380209411410588082073061520,32454401294904012269309435562739079996569969487070766807583588965214769702768006147839835180510635298978058909031609565180,54057,36755
62,57086327744804005016628105961626738278347373721868186016253898,27929892807275729276446069577828294582531021787001250424999520,1594415014673386283182751247273700073550621198461650057383019036263892287746036544224785820446992752248788603551118848128960,148421164261436573262774728069075514352992255441860636554152632009563788299804179485229424907513712448923090616247717804856,1594415014673386283182751247273700073550621198461650057383019036263892287746036544224785820446992752248788603551118848128960,55811,36902
